상품ID,컬리상품ID,브랜드,순위,분류,상품명,할인율,할인가,총용량(g),단위가격(100g),리뷰수,평균별점
12637573152,1001706193,차려낸,6,간편식·밀키트·샐러드,[차려낸] 불맛을 더한 강릉식 짬뽕순두부찌개,20,7900,855.0,17556.0,991.0,4.8
12825497619,1001774553,차려낸,7,간편식·밀키트·샐러드,[차려낸] 시원하고 칼칼한 바지락술찜파스타,24,10900,,,1856.0,4.89
12274697163,1001345828,차려낸,8,간편식·밀키트·샐러드,[차려낸] 매콤 양념 낙곱새 전골,31,12900,700.0,55286.0,1133.0,4.79
13087961340,1001946226,차려낸,9,간편식·밀키트·샐러드,[차려낸] 국산 생곤드레로 만든 곤드레나물밥 (4개입),15,10960,968.0,15851.0,401.0,4.86
13153683703,1001931649,차려낸,10,간편식·밀키트·샐러드,[차려낸] 국내산 닭가슴살 치킨너겟,50,4950,500.0,48510.0,654.0,4.83
12274686048,1001209336,차려낸,11,간편식·밀키트·샐러드,[차려낸] 살얼음 육수 냉메밀소바 2인분,29,6990,908.0,21555.0,204.0,4.87
12273055010,1001254478,차려낸,12,간편식·밀키트·샐러드,[2개사면 33%특가][차려낸] 명태 듬뿍 속초식 회냉면 2인분,25,8900,,,11590.0,4.71
12814191816,1001783400,차려낸,13,간편식·밀키트·샐러드,[차려낸] 세 가지 해산물 토마토파스타,19,7900,440.0,32318.0,80.0,4.76
12716475975,1001207468,차려낸,14,간편식·밀키트·샐러드,[차려낸] 비법 양념 서울식 소불고기전골,17,13900,740.0,30054.0,25.0,4.76
12632048122,1001696723,차려낸,15,간편식·밀키트·샐러드,[차려낸] 국산 닭을 사용한 안동찜닭,20,15900,,,266.0,4.76
12862718135,1001770684,차려낸,16,간편식·밀키트·샐러드,[차려낸] 새우 감칠맛 더한 봉골레파스타,15,7900,280.0,39500.0,31.0,4.74
12684334064,1001590514,차려낸,17,간편식·밀키트·샐러드,[차려낸] 살얼음 육수 냉메밀소바 2인분 * 2개입,44,10900,908.0,51619.0,99.0,4.84
12854551061,1001774555,차려낸,18,간편식·밀키트·샐러드,[차려낸] 버섯 풍미가 진한 트러플 크림 뇨끼,11,6990,270.0,25889.0,58.0,4.79
13087964133,1001946224,차려낸,19,간편식·밀키트·샐러드,[차려낸] 국산 나물이 듬뿍 모둠나물밥 (4개입),20,10320,968.0,20256.0,86.0,4.88
12271217607,1001363780,차려낸,1,국·반찬·메인요리,[차려낸] 비법 간장 양념 메추리알 장조림 1kg,16,8300,,,6812.0,4.84
12532912096,1001602545,차려낸,2,국·반찬·메인요리,[차려낸] 오모가리 한돈김치찌개,14,5900,500.0,15340.0,811.0,4.85
12274688128,1001254480,차려낸,3,국·반찬·메인요리,[차려낸] 국물이 진한 한우 사골 미역국,11,5280,500.0,10560.0,1088.0,4.86
12447683517,1001557182,차려낸,4,국·반찬·메인요리,[차려낸] 구수하고 담백한 청국장,21,5900,500.0,23600.0,673.0,4.82
12595405978,1001595579,차려낸,5,국·반찬·메인요리,[차려낸] 건더기가 풍부한 육개장,20,5500,500.0,20900.0,0.0,0.0
12354836866,1001542446,차려낸,6,국·반찬·메인요리,[차려낸] 쫄깃하고 통통한 꼬치어묵,20,7900,398.0,37714.0,303.0,4.88
12861631382,1001801912,차려낸,7,국·반찬·메인요리,[차려낸] 비법 육수 차돌박이된장찌개,12,6900,500.0,15180.0,128.0,4.75
12275332931,1001692519,차려낸,8,국·반찬·메인요리,[차려낸] 인기 국탕류 5종 (택1),21,5900,500.0,23600.0,9339.0,4.86
